symbol,date,state,state_key,pulse,slope5,weekly,close,ret_5d,ret_10d,ret_20d,ret_60d
ORCL,2023-02-14,二次启动,second_start,59.001,26.03,多头,85.3415,-0.031092044222879478,-0.030867743666928793,-0.06858233108800338,0.09830559658941573
ORCL,2023-03-06,二次启动,second_start,76.322,23.203,多头,85.9642,-0.053599225027390784,-0.030978225417450767,0.046579031097861545,0.1854650922853749
ORCL,2023-03-21,趋势启动,trend_start,2.686,56.017,多头,83.8951,0.02591910072959136,0.07330434659246943,0.09855231199753511,0.4510155787059855
ORCL,2023-03-27,二次启动,second_start,67.254,74.9,多头,86.3473,0.04193477872482765,0.046855028549041444,0.04785770417676072,0.34329871092388053
ORCL,2023-04-11,二次启动,second_start,100.0,14.149,多头,90.3931,0.026604130145062355,0.0009577979762003253,0.023092569975886157,0.21964456478345307
ORCL,2023-04-21,趋势退潮,trend_fade,81.663,-18.337,多头,91.5282,-0.004519375599639552,0.019127533281819487,0.08081961924814896,0.25177626681804055
ORCL,2023-05-11,二次启动,second_start,90.832,24.106,多头,93.7311,0.05028709002851239,0.07029951278411595,0.12736035001858692,0.18672389827405755
ORCL,2023-05-24,趋势退潮,trend_fade,77.38,-22.62,多头,94.5776,0.07801068191272864,0.09316548123501933,0.2066721580153188,0.18998361549567067
ORCL,2023-06-01,二次启动,second_start,100.0,22.62,多头,101.9556,0.014058116098999651,0.1939806155950159,0.12359657174311622,0.10623678211873133
ORCL,2023-06-26,趋势退潮,trend_fade,80.016,-19.984,多头,112.3349,0.0031683729670297645,-0.01281761069592613,0.013563333942544498,-0.030089865084538037
ORCL,2023-07-14,二次启动,second_start,35.835,39.514,多头,115.1328,-0.013582620956602343,-0.027500548185996343,-0.05206683515475541,-0.07503982093319717
ORCL,2023-08-18,趋势启动,trend_start,1.42,53.772,多头,112.4202,-0.0034347812661497112,0.038382384428521155,-0.03649322758615536,-0.01624836403035057
ORCL,2023-08-29,二次启动,second_start,65.358,43.841,多头,116.4649,0.030501359063868305,-0.07302122783541509,-0.13286379745104038,-0.033026565435684274
